
Name,Description,Tags,Languages Supported,Eligibility Requirements,Service Area ZIP,Service Area City,Service Area County,Service Area State,Phone,Email,Address,Website
Center for Employment Opportunities (CEO) – Sacramento,"Provides employment services for individuals returning from incarceration, including paid transitional employment, job coaching and placement; helps participants build workplace skills and confidence.",employment services; job placement; transitional work; job coaching,EN,Individuals who have recently returned from incarceration.,95811,Sacramento,Sacramento,CA,(916) 794‑4526,referralssacramento@ceoworks.org,"444 N. 3rd St., Suite 230, Sacramento CA 95811",https://ceoworks.org/locations/sacramento
Exodus Project – St. Vincent de Paul Society,"Mentoring program serving Sacramento and Solano counties; provides emergency housing, employment assistance, transportation, clothing, phones and counseling for individuals leaving incarceration.",mentoring; emergency housing; employment assistance; transportation; counseling; clothing,EN,Individuals leaving incarceration in Sacramento or Solano counties.,95821,Sacramento,Sacramento,CA,(916) 669‑0611,exodus@svdp-sacramento.org,–,https://svdp-sacramento.org/exodus-project
"Project Rebound – California State University, Sacramento","Supports formerly incarcerated students at Sacramento State with counseling, mentoring, academic resources and career development.",education; mentoring; counseling; career development,EN,Any Sacramento State student who was previously incarcerated.,95819,Sacramento,Sacramento,CA,(916) 278‑6794,projectrebound@csus.edu,–,https://www.csus.edu/projectrebound
Friends Outside & Friends and Families Community Center (San Joaquin),"Reentry assistance center offering case management, employment readiness (resume building, job search, interviewing), housing and basic needs assistance, anger management and parenting classes, and support for children and families.",case management; job placement; housing assistance; anger management; parenting classes; family support,EN,Formerly incarcerated individuals and their families in San Joaquin County.,95203,Stockton,San Joaquin,CA,(209) 955‑0701,–,"1148 W. Fremont Street, Stockton CA 95203",https://friendsoutside.org
Legacy Alliance Outreach (LAO) – Transitional/Sober Living,"Non‑profit program in Modesto offering transitional/sober living with classes on anger management, domestic violence, criminal thinking, stress management and relapse prevention; meetings open to the public Monday–Friday.",transitional housing; sober living; anger management; domestic violence; stress management; relapse prevention,EN,Open to previously incarcerated individuals and the community.,95350,Modesto,Stanislaus,CA,(209) 480‑6199,–,"211 McHenry Ave., Modesto CA",https://legacyallianceoutreach.org
Transition to Hope – Merced Rescue Mission,"Sober living houses offering safe, supportive transitional housing for people re‑entering the community; provides a family‑like environment and helps residents move toward independent housing.",sober living; transitional housing; supportive housing,EN,Adults needing supportive sober living while transitioning to independent housing.,95340,Merced,Merced,CA,(209) 722‑9269,information@missionmerced.org,"644 W. 20th St., Merced CA 95340",https://www.mercedrescuemission.org/transition-to-hope
Stable Transitions After Re‑Entry (STAR) – Encompass Community Services,"Supports youth ages 13–19 exiting probation placements by providing life skills training, case management, educational support services, job search/placement, emergency food assistance and emergency/transitional housing.",youth services; life skills; case management; education support; job placement; food assistance; transitional housing,EN; ES,Referral required from Juvenile Probation; youth ages 13–19 living in Santa Cruz County.,95060,Santa Cruz,Santa Cruz,CA,(831) 535‑9124,starprogram@encompasscs.org,"380 Encinal St., Suite 200, Santa Cruz CA 95060",https://www.encompasscs.org/stable_transitions_after_re_entry
ReTurn Project – Encompass Community Services,"Provides cognitive‑behavioral therapy and mental health services to AB109 probation clients transitioning from custody; offers benefits navigation, emergency and transitional housing, individual and family counseling.",mental health; cognitive‑behavioral therapy; benefits navigation; emergency housing; transitional housing; counseling,EN,Must be referred by Santa Cruz County Probation; participants must live in Santa Cruz County and be age 18 or older.,95060,Santa Cruz,Santa Cruz,CA,(831) 423‑2003 Ext. 0,–,"380 Encinal St., Suite 200, Santa Cruz CA 95060",https://www.encompasscs.org/return_project
Dorothy’s Place – House of Peace,"Transitional living program promoting safety, stability and well‑being for adults experiencing chronic homelessness; provides transitional housing, counseling, referrals, financial literacy, benefits assistance, job training, employment readiness and literacy programs.",transitional housing; counseling; referrals; financial literacy; benefits assistance; job training; literacy programs,EN; ES,Homeless adults with income requirements; must meet income‑based eligibility.,93902,Salinas,Monterey,CA,(831) 757‑3838,info@dorothysplace.org,"30 Soledad St., Salinas CA 93902",https://www.dorothysplace.org
Veterans Transition Center of California (VTC),"Non‑profit organization providing emergency, transitional and permanent supportive housing for homeless or formerly incarcerated veterans; offers meals, clothing, furniture, transportation, benefits assistance, mental health counseling, substance abuse recovery, employment resources and community enrichment.",veterans; emergency housing; transitional housing; permanent housing; mental health; substance abuse recovery; employment resources; benefits assistance,EN,Homeless or formerly incarcerated veterans and their families.,93933,Marina,Monterey,CA,(831) 883‑8387,info@vtcmonterey.org,"220 Twelfth St., Marina CA 93933",https://www.vtcofcalifornia.org
Ahimsa Collective – People First Reentry House,"Operates reentry homes that provide safe, supportive housing for men, women and non‑binary people returning from prison; residents stay as long as needed, receive basic needs like clothing, food and transportation, and participate in community‑based decision making, counseling and skill‑building classes.",reentry housing; supportive community; counseling; life skills; food and clothing; transportation,EN,"Formerly incarcerated adults; open to women, men and non‑binary individuals.",946,Oakland (East Bay),Alameda,CA,–,reentry@ahimsacollective.net,–,https://www.ahimsacollective.net/reentry-house
Belgravia Center – Turning Point of Central California,"Transitional housing and reentry program serving Fresno County; provides housing, sustenance, life‑skills training, supervision, employment development training and other support services to probation‑supervised participants.",transitional housing; life skills training; supervision; employment development; case management,EN,Male and female individuals on active probation supervision referred by Fresno County Probation or CDCR Parole.,93721,Fresno,Fresno,CA,(559) 233‑0515 Ext. 5200,–,"2369 South G St., Fresno CA 93721",https://www.tpocc.org/belgravia-center
WestCare California,"Provides residential and outpatient treatment, emergency housing, rapid rehousing, crisis support, case management, employment assistance, vocational training and criminal‑justice reentry programs across multiple California counties, including Fresno and Mendocino.",substance use treatment; emergency housing; rapid rehousing; case management; employment assistance; vocational training; reentry programs,EN,Varies by program; serves individuals with substance use disorders and those involved in the criminal justice system.,–,"Multiple locations (e.g., Fresno, Mendocino)",Multiple,CA,(559) 251‑4800,–,–,https://www.westcare.com
Home Free – Five Keys Charter School,"Transitional housing program on Treasure Island for women who are survivors of intimate partner violence; offers safe housing, trauma‑informed support and a path to permanent housing (Home Free).",transitional housing; domestic violence; women; trauma‑informed care,EN,"Women who are survivors of intimate partner violence, including those recently incarcerated.",94130,San Francisco (Treasure Island),San Francisco,CA,–,homefree@fivekeys.org,–,https://www.fivekeyscharter.org/home-free
Re-Invest in Stockton Communities – Five Keys,"Life‑skills program in Stockton that provides digital literacy, financial knowledge, job search support and wellness activities to participants reentering the community.",digital literacy; financial education; job search; wellness; life skills,EN,Participants reentering the community in Stockton (must be formerly incarcerated).,95202,Stockton,San Joaquin,CA,–,info@fivekeys.org,–,https://www.fivekeyscharter.org
